Master.Id,Tweet,Cluster_labels
8.58711E+17,Opioid crisis  extremely urgent  unjust  End drug prohibition  save lives  NoMoreDrugWar EndProhibition cdnpoli,2
8.74654E+17,OpioidX  Opioid Crisis America  HarvardX Course Trailer HarvardHealth harvardmed HarvardGH addiction,0
8.82791E+17,Trump DGAF opioid crisis bec way Russian org crime makes   victims  American kids  via MotherJones,0
8.8319E+17, profit opioid crisis   cigarettes  diamonds  blood diamonds   oil  natural gas  natural resources    ,0
9.23647E+17,Proud support potus today declared nations opioid crisis public health emergency ,0
9.34071E+17,drug overdose crisis   prescription  opioid crisis  misinformation spread particularly journalists harming chronicpain patients,2
9.34071E+17, let  s clear  read   drug overdose deaths  mean  prescription  opioids    OpioidCrisis  ChronicPain,2
9.4675E+17,Indiana opioid crisis  massive dirty needle problem  led last year  s HIV outbreak   awful public education system infrastructure severely needs improvement  Yet priority Indiana legislature  embarrassing ,0
9.51463E+17, crimes Barry  Hill minions  will come full circle    opioid crisis added bonus  scope abuse power will overwhelming,0
9.53742E+17,Lawmakers ask  can CMSgov protect families communities across country opioid crisis ,0
9.5452E+17, recognize report may spark discussion opioid crisis feel healthy necessary discussion hope way report can save lives   Petty  s family said,0
9.55532E+17,many Tennessee families felt devastating effects opioid addiction  TN Together comprehensive plan address opioid crisis state  Learn TnTogether find resources TennesseeTogether,0
9.55898E+17,Congressional report links Medicaid fraud opioid crisis,0
9.56935E+17,CleanSlate CEO Greg Marotta weighs PAs disaster declaration means opioid crisis  esp Philadelphia  CleanSlate just opened outpatient addiction treatment center  w  another open soon  Call us  HOPE ,0
9.57262E+17,midst national opioid epidemic  Trump calling ONDCPs budget reduced      point plan calls fully funding national response crisis  don  t act   million people will dead  years ,0
9.58555E+17,Trump correctly talked need address opioid crisis  Well  say  don  t help people suffering opioid addiction cutting Medicaid   trillion  need expand  cut Medicaid  BernieResponds,0
9.58817E+17,socalled War Drugs punishes ordinary Americans using marijuana lets responsible creating opioid crisis go unpunished  States taking action  Congress  need pass HR end federal marijuana prohibition ,0
9.58949E+17,CPCHQ  AndrewScheer Riddle  policy Opioid Crisis confronting nation  seem find policies website  searched policies homelessness  clean water st Nations  others  Seeing nada  NOTHING ,0
9.60706E+17,HEY GUESS PROFITS OPIOID CRISIS       RUSSIAN  MOB   receipts replies  Attorney General Sessions Will Travel Tampa Wednesday Deliver Remarks Efforts Combat Drug Trafficking End Opioid Crisis,2
9.60846E+17,Important read Canadian MDs think new opioid guideline  requires  lower patient  s dose  true ,0
9.60973E+17,Sackler family made billions OxyContin  top US colleges take money tainted opioid crisis ,0
9.61757E+17,Scientists warn new effort ban kratom worsen opioidcrisis cause overdoses  FDA DEA IAmKratom keepkratomlegal,0
9.62126E+17,Democrats delivered families last nights bill     billion child care grant program    billion infrastructure like rural broadband    billion college affordability    billion combat opioid crisis,0
9.62159E+17,opioid crisis killed  people  Sackler family  generated billions ,0
9.62359E+17,Administration power year now  done nothing protect electoral systems attacks deal meaningfully opioid crisis  Inexcusable ,0
9.62527E+17, use pain medication keep us functional days  d otherwise unable function   s asking much want function   OpioidCrisis Fuels Damaging Stigmas ChronicPain Patients,0
9.63013E+17,States legalized marijuana medicinal use seen dramatic decrease opioid use  overdose rates ,0
9.63064E+17,reported wrote story opioids  hometown  best friend  died six half years ago ,0
9.63163E+17, CAN  T FIX STUPID CAN WATCH ACTION CNN EVERYDAY        CNN  s Chris Cillizza gets slammed MOCKING Trump  s eulogy mom LOST SON  opioid crisis    FakeNewsCNN  LiberalismIsAMentalDisorder,0
9.63173E+17,Can cannabis save us opioid crisis  CannabisCommunity CannabisMedicinal CannabisHeals,0
9.63263E+17,notice press  lacking coverage   Jeff Sessions  links private prison industry  Rise hate groups joining law enforcement  growing involvement private military firms  Erik Prince  foreign policy  Big Pharmas role causing opioid crisis,0
9.63459E+17,Economic cost opioid crisis    trillion growing faster ,0
9.63512E+17,many times walked Sackler gallery  done talk  reviewed show  Meet Sacklers  family feuding blame opioid crisis,0
9.63561E+17,cost country  s  USA  opioid crisis estimated exceeded   trillion   projected cost additional   billion   economy OpioidEpidemic,0
9.63751E+17,Short answer  one knows  experts understand universal prevention actually works  Wish  d asked  via NYTimes,0
9.63815E+17,FairfaxFalls Church Community Services Board  CSB  working implement programs provide mental health services well encourage relationships incarcerated persons treatment providers order combat opioid epidemic ,0
9.6382E+17,midst national opioid crisis  pain management doctors increasingly turning therapies control cancerrelated pain fewer side effects patients ,0
9.63825E+17,consensus experts outlined spend money solve Opioid Crisis  four main areas  treatment  harm reduction  demand  supplyfocused solutions ,0
9.6384E+17,Really welldone piece UpshotNYT solutions opioidcrisis  Reflects crosssection input public health  lawenforcement experts,0
9.63847E+17,asked  experts think big  realistically  solutions opioid crisis   aggregate  said ,0
9.63866E+17,New AHRQ Views blog post highlights AHRQ  s plans combat opioid crisis   Learn ,0
9.63918E+17,opioid crisis,0
9.64101E+17,Fascinating   Police Chief  Governor Sociologist Spend   Billion Solve Opioid Crisis  via UpshotNYT JHD,0
9.64271E+17,UMD CNSmd students shine light growing opioid crisis state Maryland UMDtransforms,0
9.6453E+17, s Goliath  David kind fight u know    re gonna win will throw CEOs prison what  ve done opioid crisis  Somebody go jail   s way consider win  Onevoice,0
9.64597E+17, opioid epidemic now fullblown national crisis  yet federal government continues dawdle   says MikeBloomberg  need RecoveryNOW ,0
9.64602E+17,Since Jan    OrangeCoSheriff responded  overdoses  effort curb public health crisis communities  MayorJacobs Sheriff Demings launched emergency preventive measures OCFireRescue ChiefOttoDrozd  Read ,0
9.64634E+17,Want better understand overdose crisis BC  Join us free public event Feb  experts shine light reality  Register ,0
